AirCarrierName;AirCarrierCode
Progres Multitrad Co. Ltd;U4
Propilot Inc;F3
Provincia Airline;PB
Puert Ric Ai Managemen Servic Inc;2P
Pullmantu Ai;EB
Qanta Airway Ltd;QF
Qata Airways(Q.C.S.C;QR
RACS Airline;R6
RA Airway;RT
REGIONA EXPRES PT LIMITE;ZL
Redemptio Inc;2O
Regiona Ai Line;FN
Regiona Compagni Aerienn Europeenn;YS
Romania Aviatio Compan;WQ
Roya Ai Maro;AT
Roya Airway Limite;SG
Roya Brune Airline Sdn Bhd;BI
Roya Dais Airline;6D
Roya Falco;RZ
Roya Jordania;RJ
Roya Nepa Airline Corporatio;RA
Ruta Aereas C.A RUTAC;RM
Rwandai Expres;WB
Rya Internationa Airline;RD
Ryanai Ltd;FR
S Airlin;4Z
SA Scandinavia Airline Norg A;BU
SAT  Ai Acore;SP
SAT Internationa Servico ;S4
SEVENAI S.A;UG
SO S.A Linea Aerea;8R
SWIF AIR,L.L.C;Q7
SWIS Internationa Ai Line Lt;LX
Safai (Proprietary Ltd;FA
Saf Airway Ltd;4Q
Sam Ai LL;S8
Sam Airway Ltd;ZS
Samar Airline;E5
Saud Arabia Airline;SV
Sayakha Airline;W7
Scandinavia Airline Syste (SAS;SK
Sceni Airlines Inc;YR
Servicio Aereo Nacionale S.A;RZ
Shahee Ai Internationa;NL
Sha Wing Airline;6Q
Shandon Airline;SC
Shangha Airline Carg Internationa;F4
Shangha Airline Co Ltd;FM
Shenzhe Airline;ZH
Shenzhe Dongha Airline Co. Lt;J5
Shu Tak-Chin Trave Shi Mgmt Ltd;8S
Shuttl Americ;S5
Siberi Airline;S7
Sichua Airline Co Ltd;3U
Sie Rea Airway Internationa;FT
Sil Wa Airline;ZP
SilkAi (S Pte Ltd;MI
Singapor Airline Carg Pte Ltd;SQ
Singapor Airline Limite;SQ
Sk Ai Worl Pt Lt;S9
Sk Expres;XW
Sk Expres S.A;GQ
Sk Gabo S.A;GV
Sk Je Aviatio Lt;UQ
Sk Servic S.A db Sk Airlin;H2
Sk Wa Enterprise Inc;KI
SkySta Airway Compan Limite;XT
SkyWes Airline;OO
Skybu Airlines LL;SX
Skymar Airline Inc;BC
Skyne Asi Airway Co. Ltd;LQ
Skyservic Airline Inc;5G
Skyway A;JZ
Skywes Airline Pty Ltd;XR
Socieda Aeronautic d Medelli;MM
Societ D Transpor D L'Archipe;OG
Societ Nouvell Ai Ivoir;VU
Sola Cargo C.A;4S
Solomo Airline;IE
Sout Africa Airway;SA
South-Eas Europea Airline;G2
Souther Ai Inc;9S
Southwes Airline Co;WN
Spanai S.A;JK
Spiri Airline;NK
Sprin Airline Limite Corporatio;9C
SriLanka Airline Limite;UL
Sta Ai A/;S6
Sta Equatoria Airline;2S
Sta U S.A;2I
Starligh Airlin;QP
Sterlin Airline A/;NB
Suda Airway Co Ltd;SD
SunExpres;XQ
Sunwin Airline Inc;WG
Surina Airway Ltd;PY
Swiftai;7J
Syria Ara Airline;RB
TAA  Linha Aerea d Angol;DT
TAC Cost Ric Socieda Anonim;TI
TA  Transporte Aereo de;PZ
TA Linha Aerea S.A;JJ
TAM Line Aere de Ecuado;EQ
TA  Ai Portuga;TP
TARO  Transporturil Aerien Roman;RO
TN Airway S.A;3V
TRI Transport Aereo Regionai D;T4
TU Airline Nederlan B.V;OR
TUIfl Nordi A;6B
Tac Internationa Airlines S.A;TA
Ta Linha Aerea S.A;R9
Tande Aer Ltd;TQ
Tasma Carg Airline PT LT;HJ
Tatarsta JS Aircompan;U9
Tatondu Outfitter Limited;3Z
Tax Fl Grou S.A;P5
Tbilaviamshen;L6
Tha AirAsi Co. Ltd;FD
Tha Airway Internationa Publi;TG
Thoma Coo Airline Scandinavi A/;DK
Thoma Coo Airline U.K Limite;MT
Thomso Airway Limite;BY
Tiar Ai N.V;3P
Tita Airway Limite;ZT
Touma Ai Tcha;9D
Trad Ai Ltd;8P
Tradewind Airline Inc;WI
Tran Ai Beni;N4
Tran America Airlines S.A TAC PER;T0
Tran State Airlines Inc;AX
TransAsi Airway Corporatio;GE
Transaer Airline;UN
Transavi Airline;HV
Transaviaexpor Carg Airlin;AL
Transcarg Int' Airways C.A;T9
Transmil Ai Service Sdn Bhd;TH
Transpor Afric;9K
Transport Aere S.A;LU
Transporte Aereo Cielo Andino S.A.C;9P
Transporte Aereo Mercantile;QT
Transporte Aereo d Cab Verd;VR
Transporte Aeromar S.A d C.V;VW
Tras Aer;S5
Tunc Havacili A.S BestAi;5F
Tunisai;TU
Tura Ai Airlin Compan;3T
Turkis Airline Inc;TK
Turkmenista Airline;T5
Turk Ai;6T
Turkua Airline;HK
Tyrolea Airway Tirole Luftfahr Gmb;VO
UN Airway Corporatio;B7
UP;5X
U Airways Inc;US
US Je Airlines Inc;UJ
UTai Aviatio Joint-Stoc Compan;UT
Ukrain Internationa Airline;PS
Ukrainia Mediterranea Airline Ltd;UF
Unite Airlines Inc;UA
Unite Airway Banglades Lt;4H
Unite Eagl Airline C Lt;EU
Universa Airways Inc;UV
Ura Airline;U6
Utai  Expres Limite Compan;UR
Uzbekista Hav Yullar ;HY
VI Airline;NN
VR Linha Aerea S.A;G3
Valuai Ltd;VF
Va Ai Europe a.s;6Z
Vari Logistic S/;LC
Venseca Internaciona C.A;V4
Vietna Ai Servic Compan;0V
Vietna Airline Corporatio;VN
Vi Air spol S.r.;V5
Virgi Americ Inc;VX
Virgi Atlanti Airway Limite;VS
Virgi Blu Airline Pt Lt;DJ
Virgi Blu Internationa Airline;VA
Virgi Nigeri Airway;VK
Viv Maca Limite;ZG
Vladivosto Ai JS;XF
Volga-Dnep Airlin Join Stoc;VI
Voyage Airline Lt;V6
Webje Linha Aerea S/;WH
Wes Coas Ai;8O
WestJe;WS
Wideroe' Flyveselska A.S;WF
Win Ros Aviatio Compan;7W
Windwar Island Airway Int' N.V;WM
Wing Ai;IW
Woodgat Executiv Ai Charte U Ltd;3W
Worl Airway;WO
Worldwid Je Charte L.L.C;T8
X Airway Franc;SE
Xiame Airline;MF
Yama Airline;YC
Yangtz Rive Expres Airline Compan;Y8
Yemeni  Yeme Airway;IY
Zambez Airline;ZJ
Zambi Skyway Ltd;K8
Zambia Airway;Q3
Zoo Airline Inc;Z4
Zoo Airway Limite;3Z
join stoc compan Avio Expres;X9
Unknow Canadia Airlin;*c
Unknow Foreig Airlin;*f
Unknow U Airlin;*u
Aircraf Unde Thei Ow Powe;*
